epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall
1,1.1515930247306825,1.1196329545974733,0.5979851365089417,0.42939438700675964,0.4954195702075958,0.7892782187461853
2,0.9916562551259994,0.9254183578491211,0.6404465961456299,0.4736045241355896,0.5647594773769379,0.7673238945007325
3,0.9068162697553634,0.8506933164596557,0.6044361686706543,0.43826415538787844,0.830022714138031,0.4891115665435791
4,0.8201840418577194,0.7659141421318054,0.6851834321022033,0.5236096799373626,0.6801879966259002,0.7174240612983703
5,0.735637502670288,0.7000025367736816,0.7091710019111633,0.5544455885887146,0.7231208395957947,0.7168073654174805
6,0.6654895445704461,0.6427044129371643,0.7348403429985046,0.5839145946502685,0.7622955536842346,0.7283094763755799
7,0.6068108776211738,0.6616412472724914,0.7149958801269531,0.5630533003807068,0.7957522749900818,0.6663413190841675
8,0.5525477290153503,0.6232007050514221,0.721933217048645,0.5747202682495117,0.8824368405342102,0.6285596442222595
9,0.5124867105484009,0.5672570943832398,0.7585508632659912,0.6144650268554688,0.7891291952133179,0.7464536333084106
10,0.45871401637792586,0.5749116110801696,0.7348964071273804,0.5869549036026,0.9063632655143737,0.632584388256073
11,0.41498245269060136,0.5307258772850036,0.7716690301895142,0.631117696762085,0.790230839252472,0.7745953893661499
12,0.388805139362812,0.576538336277008,0.7484893226623535,0.6004771542549133,0.7284676027297974,0.7924347877502441
13,0.36707480683922766,0.5128645014762878,0.7692070531845093,0.631651074886322,0.8413793897628784,0.733149619102478
14,0.3431365533173084,0.5222421419620514,0.7582195472717285,0.6193825316429138,0.8927126574516296,0.682797155380249
15,0.3109814564883709,0.5046221351623535,0.7825288653373719,0.6447743940353393,0.7519472980499268,0.8377142310142517
16,0.28487728610634805,0.4932120442390442,0.7828778791427612,0.6474234342575074,0.8342106485366821,0.7596161055564881
17,0.27205244317650795,0.58161386013031,0.7493343234062195,0.6010542869567871,0.670236542224884,0.8680673241615295
18,0.260800441801548,0.5218729138374328,0.768650324344635,0.6339550232887268,0.875727915763855,0.7085629320144653
19,0.225279735699296,0.445094610452652,0.7932344460487366,0.6605965924263001,0.8406834959983825,0.7711688828468323
20,0.2119118782132864,0.5421467590332031,0.7645627331733703,0.6262707901000977,0.8295395421981812,0.7343378520011902
21,0.18900200977921486,0.4601454174518585,0.8043432760238648,0.6753604769706726,0.8363950443267822,0.7967592000961303
22,0.1848455449193716,0.5208612132072449,0.7731229948997498,0.6372463893890381,0.9233447051048279,0.6849333739280701
23,0.17714267626404762,0.5432088005542756,0.7619787764549255,0.6223801517486572,0.9152118349075318,0.6711355519294738
24,0.14308711536228658,0.4340444624423981,0.8154125261306763,0.692141125202179,0.8850071001052856,0.7750829553604126
25,0.15357131607830524,0.500324993133545,0.7815352272987366,0.6465171313285828,0.8943413233757019,0.7179795742034912
26,0.12644781477749348,0.4816410219669342,0.7960946702957153,0.6660558915138245,0.8791638875007629,0.7461359715461731
27,0.12807192668318748,0.49360350012779236,0.796017279624939,0.6649024009704589,0.8677515840530395,0.7543843507766723
28,0.10742360047996044,0.4805242896080017,0.7913484835624695,0.6596587109565735,0.8959006929397583,0.728455457687378
29,0.08989362709224225,0.5009143114089966,0.7951951813697815,0.663458456993103,0.8848818492889404,0.7395141077041626
30,0.10834912899881602,0.5110560774803161,0.7982601118087769,0.6689073014259338,0.8600783920288086,0.7638167524337769
31,0.0971632318943739,0.5570430684089661,0.7588773226737976,0.6211785769462586,0.9214877343177795,0.6645424842834473
32,0.10525137729942799,0.5212296938896179,0.7892320895195007,0.6559970355033875,0.8531064319610596,0.7514242315292359
33,0.14862165711820124,0.517239248752594,0.7951361465454102,0.6644046306610107,0.8605482172966004,0.7602592515945434
34,0.1120827217027545,0.5178281092643737,0.790109145641327,0.6575145101547242,0.8792255115509033,0.7326336669921875
