epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall
1,1.1147744899988175,1.2127236461639403,0.3297864842414856,0.2004531329870224,0.4246270394325256,0.2827787923812866
2,0.9922012996673584,0.9569588398933411,0.5630458283424378,0.3941134762763977,0.4855862212181091,0.7076275014877319
3,0.9599247187376022,0.9789267015457154,0.5032772970199585,0.3407671916484833,0.598475821018219,0.4610187721252441
4,0.9274199604988098,1.2044109654426576,0.15784389942884444,0.08770104914903641,0.8348949933052063,0.089256541877985
5,0.9118588560819626,1.2024131441116332,0.5325515174865723,0.3652326536178589,0.40477088212966916,0.8045889949798584
6,0.8958317232131958,0.843467538356781,0.6096924805641174,0.4414944922924042,0.5507702767848969,0.7081664443016052
7,0.8561034309864044,0.875002202987671,0.5652431964874267,0.40059364199638364,0.627981026172638,0.5305907106399537
8,0.8366460573673248,0.7856613779067994,0.6087695193290711,0.44506766080856325,0.7150476455688477,0.5454054379463196
9,0.8030349296331406,0.8020472288131714,0.6082179880142212,0.44560608386993406,0.7051613974571228,0.5575740313529969
10,0.774117202758789,0.8260016250610351,0.5808654856681824,0.42044015884399416,0.7911438632011414,0.48361475229263307
11,0.7532890790700912,0.7824971079826355,0.611809470653534,0.4471981930732727,0.7495502305030822,0.5365054821968078
12,0.7168014603853226,0.7031568741798401,0.6655355548858642,0.5029412174224853,0.7075697827339172,0.6504236459732056
13,0.6975384423136711,0.7607035923004151,0.6451121926307678,0.48312063694000246,0.7256087994575501,0.6015580034255982
14,0.6645293328166008,0.678492603302002,0.6848405981063843,0.5265304398536682,0.7638211965560913,0.642949526309967
15,0.6290688681602478,0.7694447278976441,0.6060170459747315,0.446377375125885,0.85201913356781,0.4880825591087341
16,0.6198545125126839,0.7032589101791382,0.6997542762756348,0.5411463928222656,0.6646845364570617,0.7568747806549072
17,0.5931419390439987,0.6604124140739441,0.689390242099762,0.5361119484901429,0.8269385695457458,0.6135614919662475
18,0.546752600967884,0.6544266963005065,0.6909419560432434,0.5364143061637878,0.8360194230079651,0.6035040736198425
19,0.5186121423542499,0.6750581765174866,0.6663786220550537,0.5114535236358643,0.8584782910346985,0.5633870434761047
20,0.5004458396136761,0.6542215776443482,0.7119062781333924,0.5576163625717163,0.7441448426246643,0.6969254636764526
21,0.49110660642385484,0.6254846382141114,0.7140122246742249,0.562200882434845,0.8070403957366943,0.6626720952987671
22,0.45823632076382637,0.6526596450805664,0.6980185413360596,0.5444382119178772,0.7988476157188416,0.6395684289932251
23,0.44154496386647224,0.6210727643966675,0.7065170860290527,0.5546229720115662,0.8627321910858154,0.6171617436408997
24,0.413651662170887,0.6398899841308594,0.7091543102264404,0.558545527458191,0.8640344357490539,0.6201010489463806
25,0.3935847656428814,0.5880654025077819,0.7368060088157654,0.5883218026161194,0.8136051201820373,0.6904588603973388
26,0.3662255489826202,0.6549308896064758,0.7226632952690124,0.5717009472846984,0.8048881673812867,0.6732275319099427
27,0.35095358818769457,0.5992901349067687,0.7316422986984253,0.5832160210609436,0.8390025115013122,0.6628795790672303
28,0.33196002334356306,0.6072681212425232,0.7508961796760559,0.6056091594696045,0.7517920351028442,0.7643097805976867
29,0.29757268525660036,0.5934976720809937,0.7415108060836793,0.5949826645851135,0.8458521413803101,0.6786091709136963
30,0.3028005200624466,0.6186920201778412,0.7323546814918518,0.5875380444526672,0.8534130716323852,0.653201858997345
31,0.2776379011571407,0.640622787475586,0.7244790434837342,0.5744381785392761,0.8472475719451904,0.6467879486083984
32,0.2401594366878271,0.6349893355369568,0.7246867084503174,0.5768207311630249,0.8856347393989563,0.6280261158943177
33,0.2199076656997204,0.6344308590888977,0.7177654480934144,0.5678245735168457,0.8411459922790527,0.6420131301879883
34,0.20038883529603482,0.6056851840019226,0.7563650798797608,0.6122072505950927,0.8194029808044434,0.7176425862312317
35,0.18134890504181386,0.584890969991684,0.7533551573753356,0.6110525202751159,0.8466875219345092,0.6970567989349366
36,0.1577899894118309,0.5961384916305542,0.7550847411155701,0.6136510157585144,0.8461015367507935,0.7022602438926697
37,0.13577213935554028,0.7305125284194947,0.6872177195549011,0.5350897669792175,0.9109351563453675,0.5694276714324951
38,0.12833516828715802,0.661948254108429,0.7486640524864197,0.6047185659408569,0.8267684388160705,0.7041703152656555
39,0.1290004512667656,0.63903968334198,0.7515090537071228,0.6067510271072387,0.8115466165542603,0.7175834894180297
40,0.13769415371119975,0.6834511637687684,0.7490585780143738,0.6028261256217956,0.8170047354698181,0.7120972466468811
41,0.1106255966424942,0.6642991924285888,0.7528897190093994,0.608997700214386,0.8528648114204407,0.6915324473381043
42,0.09684097599238158,0.6601997470855713,0.7517219877243042,0.6086572933197022,0.8249635481834412,0.7099247455596924
43,0.0884200395271182,0.6844827401638031,0.7432388544082642,0.5983137679100037,0.8849614119529724,0.657500319480896
44,0.11378659844398499,0.7203844499588012,0.7306619644165039,0.5831484484672547,0.8868120098114014,0.6370345234870911
