BCE:Dice,最佳验证 Dice,测试 Dice,测试 IoU,测试 Precision,测试 Recall,实验目录
1:1,0.7666,0.7851,0.6531,0.8269,0.7549,unet_hybrid_bs16_lr0.0001_bce1_dice1
1:1,0.8115,0.8186,0.6951,0.8044,0.8446,unet_hybrid_bs8_lr0.0001_bce1_dice1
