epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall
1,0.4481587478518486,0.3875014543533325,0.607419753074646,0.43794049620628356,0.6084754049777985,0.6303689050674438
2,0.36118527710437776,0.42742899775505067,0.6071021604537964,0.43884105086326597,0.5227330946922302,0.7558056855201721
3,0.32593906864523886,0.3409482777118683,0.2861179506778717,0.17324479579925536,0.916649227142334,0.17574901252985
4,0.29693942815065383,0.3138854765892029,0.5727314114570617,0.40810011386871337,0.820693838596344,0.4525852358341217
5,0.2668833991885185,0.2814983665943146,0.6243183827400207,0.460712810754776,0.8153386759757996,0.5178430354595185
6,0.24880652979016304,0.270551290512085,0.6622686243057251,0.5004542851448059,0.7446326279640197,0.6172726130485535
7,0.22976699054241181,0.27107974648475647,0.6967981290817261,0.5402185273170471,0.772393319606781,0.6544637656211854
8,0.21067285299301147,0.24564261317253114,0.7166965436935425,0.5642442464828491,0.8163562870025635,0.6588748693466187
9,0.19484575867652892,0.2442907613515854,0.7362645149230957,0.5861152362823486,0.752779574394226,0.7375225400924683
10,0.1757546403259039,0.23446918725967408,0.6583623790740967,0.49754852056503296,0.9350741982460022,0.5200826549530029
11,0.15930051140487195,0.23411035567522048,0.6930093336105346,0.5391161704063415,0.9140927505493164,0.574313440322876
12,0.1460200560092926,0.22535517007112504,0.7205635571479797,0.5735828804969788,0.8677738404273987,0.6393141674995423
13,0.14191198520362377,0.20448925971984863,0.765851411819458,0.6270302224159241,0.8322394657135009,0.7287136912345886
14,0.12943312048912048,0.21458516240119935,0.7367329287528992,0.5935092949867249,0.8784613513946533,0.6572727847099304
15,0.11879390314221382,0.2695112663507462,0.733464457988739,0.5804121351242065,0.6599774622917175,0.844937436580658
16,0.10317177031189204,0.2210783338546753,0.7732249999046326,0.6357780766487121,0.7931550216674804,0.7747620463371276
17,0.10016884092241525,0.2365062254667282,0.7137449741363525,0.5619588398933411,0.9027193355560302,0.6053424310684205
18,0.08596804063767195,0.21980706334114075,0.7728683185577393,0.6359866285324096,0.847757272720337,0.7346388387680054
19,0.08129940867424011,0.20756884723901747,0.7601641345024109,0.6194488668441772,0.8825328993797302,0.6864140558242798
20,0.07328922279179097,0.20561218559741973,0.8010162258148193,0.6716011190414428,0.812878143787384,0.8043752121925354
21,0.06574699193239213,0.23117123633623124,0.7866398048400879,0.6508862495422363,0.7664096188545227,0.826976535320282
22,0.0689505086839199,0.23506396532058715,0.749370973110199,0.6076203846931457,0.9140708351135254,0.6591693997383118
23,0.0582620095834136,0.23992442190647126,0.7441051554679871,0.5997455811500549,0.8831484723091125,0.6607599377632141
24,0.04462709315121174,0.22160399615764617,0.7888658571243287,0.65587566614151,0.8666716074943542,0.7425101089477539
25,0.04228479433804751,0.2320713494718075,0.768849606513977,0.6329290175437927,0.8936476922035217,0.6915106296539306
26,0.039016289114952085,0.21616437271237374,0.787578775882721,0.6557539105415344,0.8791784596443176,0.7302459597587585
27,0.03938902996480465,0.25073208659887314,0.7714579510688782,0.6360687971115112,0.9040870881080627,0.6927659606933594
28,0.0356746550090611,0.23201824828982354,0.7844549179077148,0.6528684425354004,0.8995298027992249,0.7093832111358642
29,0.029183552693575622,0.23738389253616332,0.7896713209152222,0.6592658090591431,0.8838872408866882,0.733735957145691
30,0.03240110170096159,0.2370433107018471,0.787279658317566,0.6553740262985229,0.8611449766159057,0.7428870177268982
